id,title,body,author_name,published_at,upvotes_count,downvotes_count,topics
b71b04b3-7347-4e49-9e67-3242df88fb1a,Bringing people together the knock knock way,"The lifestyle of people is changing overtime. The distance
between houses is getting closer due to the increase in city
saturation. In Belgium more people are living in apartments than
in houses, but neighbors are interacting less and less. It is
noticed that neighbor’s relations are minimal or even absent. It
is found that 35% of neighbors do not even know the name of their
neighbors. This behavior is a result of several factors. It could
be considered surprising that 89% of neighbors would love to
establish good relationships with their neighbors.

Other behaviors are noticed with most Europeans while living in
economic hard times. Many Belgians began, back in 2008, to look
at second-hand alternatives when making purchases. Thus, began
the second-hand boom in Belgium, where 84% of Belgians bought
second-hand products. With the economic factors in their favor,
many second-hand stores flourished.

It could be suggested that relationships between neighbors can
create a better society. Improving the consumption power by
removing borders and decreasing distances between neighbors could
kill two birds with one stone. 78% of Belgian citizens have items
at home which they rarely use or maybe do not use anymore for a
reason or another. These items can be very useful for others.
Many neighbors are open and willing to loan items to their
neighbors for free. A small fee can even motivate neighbors to
depreciate the cost of these items faster and therefore increase
their purchase power. Borrowing items from your neighbors can
also enhance sustainability by using less raw materials and
lowering CO2 emission.

Neighbors might need the help of each other. However, without
knowing each other they do not know who to ask. They would not
know if there are some neighbors who are willing to help others
and they do not know who needs help. Still, 43% of people have no
courage to knock on other neighbors to ask for help or to borrow
something. Everyone has some known or hidden skills and
expertise. Generally, when a neighbor needs a service he/she will
look and consult a company/association. In the cases where the
needed service is available, the service can be very costly.
Whereas, there might be a neighbor who can provide the service
for a symbolic price or for free. In this way, neighbors can bond
with each other and feel useful. Socially, when neighbors help
each other, it makes everyone in the neighborhood feel at home
and consequently, the neighborhood becomes more pleasurable.
Economically, this can make the life of neighbors more affordable
by preventing them from spending money on services their neighbor
could provide for free.

A platform which can connect people and stimulate social contact
between citizens with the purpose of helping and supporting each
other, could be a good solution to make their life more
enjoyable.",Buddy Hammes III,6/9/2019,3,0,"Cleanliness and waste,Sustainable development"
d4fd48e5-b0c7-4102-8e49-46abecb3c28b,cycling on footpath,"As a pedestrian, you should walk more on the street than on the footpath, because all bicycles are parked on the footpath, especially at night. eg in the Broekstraat a pram or wheelchair patient cannot go through, not even a pedestrian",Lupe Jakubowski,6/3/2019,3,0,
3fb3ebef-a5be-4b92-b112-81b7379e1ea5,Heavy penalty for illegal dumping,Heavy penal dumping,Andreas Roob,5/10/2019,19,0,Cleanliness and waste
ddcbbe02-520c-419e-99d8-0a829a60688b,Terrace permit for Bar Stan,The popular café Bar Stan deserves a terrace license. I have never been there but it looks so cozy!,Corey Schiller,5/8/2019,73,2,economy
c5606eeb-4798-4a81-8b1c-a0378d26b6f2,Transfer car parks on the edge of Leuven,"Make some transfer car parks on the outskirts of Leuven, with connections to smooth public transport. Is present in most Dutch cities! Who comes to Leuven can easily leave the car, jump on the bus and reach the center without any worries ... So ... fewer cars in the city, less noise, healthier air, safer, calmer, more fun, no more parking problems, .... why not?",Fanny Rippin,6/5/2019,8,0,
88dc1906-a5b7-4f82-9ee4-a837c54a5c70,Expansion of camera network to stop petty crime,"We are regularly confronted with illegal dumping, theft of flower boxes, bicycles / scooters, vandalism of scooters / bicycles in our street. This happens both during the day and at night. Many residents no longer report these small facts, because the perpetrator (s) are not found. I am not in favor of continuous supervision, but thanks to images there is a greater chance of catching the perpetrator (s). We can also hope that camera surveillance helps to deter the perpetrator (s). Cameras are inexpensive, can easily keep 1 week of footage and can be viewed in case of notification.",Miss Janey Mann,6/5/2019,4,3,Cleanliness and waste
25228293-2965-4c78-bba2-1a53db5d906e,exclusively for the inhabitants of Leuven,"To the organizers of the beautiful events in Leuven, including Hapje Tapje, experiences, ... There are so many people from far and wide, which sometimes makes it more than pleasantly crowded and the Leuven residents themselves never get anywhere. That is why it would be a nice idea and pleasant for the residents of Leuven to get an exclusive evening on, for example, a snack tapje. Ideal to meet other inhabitants of Leuven! And the operators get to know their 'regular customers' better.",Michelina Morissette,5/7/2019,7,23,"Culture,Living"
8609d66f-fb95-4b30-b2a0-5a36a5d09fc1,Dangerous points for cyclists:,"Time and time again at Leuven station, both cyclists and pedestrians have to take risks to get past and to the bus stops. What is wrong with traffic lights and crosswalks in such a busy place? At least with traffic lights you know that it is a lot safer to get to and from or past the bus and train station. Buses no longer stop to let cyclists pass when they enter / leave their parking space! The same applies to the intersection at the station and the KBC office. How can all those cycling students, working people in full rush hour, get here safely to the bicycle depot ?! Dangerous & unclear situations !!! Can't this junction be built more bicycle friendly! The beautiful bike path from the Tiensepoort along the ring that suddenly stops when you arrive at the KBC office & station, that makes no sense ??? Now we have a bicycle parking at the station but you can only drive there safely from one side ... along the outer ring, but to drive from the center (Bondgenotenlaan) towards bicycle parking, there is no and certainly no safe way ... and skews everyone at risk of pedestrians, bicycles, buses and oncoming traffic. To the Mr. Van Waeyenberghlaan, where many students, employees and visitors, who drive back to the city from the hospital site Gasthuisberg every day, does have a cycle path, but with many unevenness and a dangerous end to the cycle path. Can this part of the cycle path be tackled? On the Herestraat, around Gasthuisberg, no one adheres to the speed limit of 30 km / hour !!! Either this is unclear and / or no checks are carried out. For the many cyclists, pedestrians who have to cross the street in different places here, it remains a dangerous situation if motorists do not keep to the speed. From the Brusselsestraat (shopping area) towards Amerikalei it is unclear where cyclists have to cross here. On foot across the crosswalk? If Leuven is to become more bicycle-friendly, this is certainly an issue that must also be addressed ... because it does not make sense as a cyclist that you should get off here. Also at the end of the Capuchin food near the slaughterhouse site it is unclear where the cyclists have to drive towards the ring ... on the street between the cars or on the footpath on the side of the slaughterhouse site? Is this a bike path or just a footpath?",Wayne Dooley MD,5/28/2019,19,0,Streets and squares
2a97fca0-e8dc-42df-b9da-9f8e3f744aca,Reintroduction of Open Computer Room Leuven,"Reintroduction of OCRL (Open ComputerRoom Leuven) at a separate address -> not in an OCMW building. This is important because 1 in 5 people (20%) is not digitally involved in the increasingly digital society. It should be a space where people - regardless of their income - can check e-mails, print for free or at a low price, ... OCRL's skipping is leaving many people out in the cold. The library and service centers are not involved in this.",Andreas Roob,6/20/2019,0,0,"Technology,Social inclusion"
d5e7f836-108b-4277-9b02-938379801c7b,Custom lighting,"An idea for the future when the street lighting in the Op de Vliet-Genadedal district needs to be replaced. Lower and perhaps ""smart"" lighting poles to prevent light pollution. Now it also looks like broad daylight at night. This would also benefit a number of endangered nocturnal animals such as eg. bats",Mariano Lemke,6/8/2019,6,0,"Nature and biodiversity,Sustainable development"
6e45a7c0-1cdd-4a0b-a484-898469f90b61,Inline skating rink,Inline skating rink,Andreas Roob,5/27/2019,3,1,Sport
fa949c40-4b06-4719-acbd-a85c6a125b17,Place trash cans!,* Not enough bins along streets. * Especially the area of Platte-Lostraat. * Corner: Albert Dejonghestraat with Platte -Lostraat.,Ms. Bailey Schulist,5/3/2019,13,1,"Care and welfare,Citizenship"
a0485e80-327e-446a-afa3-0d43320977d3,Solid animal shelter 😽 !!,"A solid and animal, people and environmentally friendly animal shelter with, among other things, financial support from the city where animals with solid knowledge, material, respect and a lot of love can be taken care of temporarily. This is pending a reception family or immediate final adoption and can get the necessary care, affection and space !! As far as I'm concerned, this is one of the priorities !! I am already a candidate to volunteer to help with the kittens 😸 !!",Tamie Waters,6/1/2019,8,0,"City services,Care and welfare"
1d6b3d1a-a090-4b05-87bc-cb036c1d9cc1,More HALL 5,"HAL 5 should continue to exist, more such initiatives and social interpretation for vacant buildings.",Andreas Roob,6/7/2019,10,3,Social inclusion
0537ed84-31e8-4df2-976c-05ffc27e49d2,walkways,"Footpaths are (too) often uneven, too narrow, too steep ... in short, insufficiently usable and safe. It should be strived for that ALL FOOTPATHS ARE ALWAYS ACCESSIBLE AND ACCESSIBLE, ALSO AND ESPECIALLY FOR THE ELDERLY AND LESS MOBILE. HOW TO INVENTORY? Have all city guards inventory, register and report all pain points in their activity zone for 3 months. Preferably have them accompanied by a wheelchair user and / or person with a walker (or provide one of them with such a vehicle) so that they experience the difficulties first hand. Map out all 'checked' streets, squares and other publicly accessible places in Groot-Leuven and assign a priority code. HOW TO OPTIMIZE? Draw up a multi-year plan (cf. assigned priority code) and monitor its implementation / implementation periodically - at least quarterly. Actors: police and / or city guard, or other city officials. Let Leuven be an example!",Carlyn Parker,5/2/2019,41,0,"Mobility,Streets and squares"
c7d89907-818f-409c-9438-81fb6111d461,Safe Cycling City Leuven,"It is not because there are many cyclists in Leuven that Leuven is a cycling city! As a student I have been cycling around this beautiful city for 4 years! Only I have been hit several times by cars and buses. I think the biggest cause is the lack of a separate cycle path from the track. A lick of paint (namestraat / namestesteenweg) does not increase my sense of safety on the track. On the capuchin food I have almost been hit several times, because cars overtake before a bend and have to give way for oncoming traffic. For me, this is the most dangerous job in all of Leuven! There is also parking space for bicycles on Bondgenotenlaan (between the trees, perpendicular to the street).",Lucio Little,5/10/2019,19,0,Mobility
556091ef-0e17-4dfe-87a2-02c5d47e9870,Extra parking arrangement,Parking arrangements for medical assistance and for working on the home.,Andreas Roob,6/20/2019,0,0,Mobility
